"","1*alpha -1*ckit"
"11",-1
"29",-1
"30",1
"31",-1
"37",1
"43",1
"47",0
"48",0
"55",0
"56",1
"57",0
"60",1
"61",0
"67",1
"69",1
"70",1
"83",0
"86",-1
"89",1
"92",0
"96",1
"98",1
"100",-1
"107",0
"109",0
"113",-1
"121",0
"123",0
"127",0
"142",0
"143",0
"145",1
"152",1
"157",0
"165",0
"170",-1
"201",0
"208",0
"210",0
"213",-1
"218",0
"221",0
"229",0
"239",1
"240",0
"246",1
"251",0
"258",0
"262",0
"263",-1
"273",0
"277",0
"280",0
"295",-1
"296",0
"297",0
"304",0
"308",0
"313",1
"317",1
"319",0
"322",-1
"326",1
"328",-1
"331",0
"335",0
"344",0
"346",0
"364",0
"370",-1
"372",0
"373",1
"375",0
"385",0
"386",0
"395",0
"398",-1
"404",-1
"406",1
"412",0
"414",0
"418",-1
"419",0
"423",-1
"426",0
"429",0
"433",0
"455",1
"466",1
"469",0
"470",0
"471",1
"478",0
"483",1
"484",1
"490",0
"493",0
"502",0
"508",0
"511",0
"519",0
"520",1
"525",1
"527",0
"530",1
"544",-1
"546",1
"547",0
"549",0
"552",0
"555",0
"557",0
"576",-1
"579",1
"584",0
"593",0
"595",0
"602",1
"605",-1
"609",-1
"618",-1
"622",0
"632",1
"635",-1
"639",-1
"655",0
"666",0
"671",-1
"673",0
"685",0
"690",1
"694",-1
"698",0
"709",0
"713",0
"714",0
"715",0
"717",0
"719",1
"722",-1
"731",0
"733",1
"735",1
"737",0
"744",-1
"751",-1
"756",0
"769",1
"779",0
"784",0
"787",0
"801",0
"811",0
"814",0
"815",0
"817",0
"844",0
"847",0
"851",-1
"852",0
"858",0
"859",0
"879",0
"884",0
"886",0
"887",0
"904",0
"905",0
"911",0
"931",0
"935",1
"938",-1
"939",1
"940",1
"942",0
"946",1
"956",0
"975",0
"979",-1
"980",-1
"982",0
"990",0
"992",0
"998",1
"1007",0
"1016",0
"1033",0
"1038",0
"1044",0
"1054",0
"1061",0
"1063",0
"1065",0
"1071",1
"1076",0
"1082",0
"1083",0
"1097",1
"1099",1
"1106",1
"1113",0
"1114",0
"1117",0
"1131",0
"1132",0
"1141",0
"1143",-1
"1144",0
"1145",0
"1150",0
"1152",-1
"1161",1
"1163",0
"1164",-1
"1172",0
"1181",0
"1186",1
"1199",0
"1200",0
"1204",1
"1208",1
"1211",0
"1214",1
"1219",1
"1220",0
"1231",0
"1236",0
"1242",0
"1261",0
"1262",0
"1266",0
"1267",0
"1268",0
"1271",0
"1276",-1
"1286",1
"1296",0
"1298",1
"1308",0
"1309",0
"1317",0
"1321",0
"1330",0
"1338",0
"1339",-1
"1342",1
"1357",0
"1371",-1
"1375",0
"1383",1
"1390",0
"1392",1
"1393",0
"1400",0
"1407",0
"1428",0
"1430",-1
"1431",1
"1433",0
"1434",0
"1435",1
"1437",0
"1443",0
"1446",0
"1449",0
"1460",0
"1468",0
"1472",-1
"1477",0
"1478",-1
"1482",-1
"1488",-1
"1490",0
"1497",0
"1509",0
"1524",0
"1528",0
"1529",0
"1533",0
"1534",0
"1538",-1
"1540",0
"1546",0
"1562",-1
"1567",0
"1574",0
"1575",0
"1578",0
"1582",-1
"1584",0
"1592",0
"1606",-1
"1610",0
"1615",0
"1622",-1
"1625",0
"1629",0
"1632",0
"1637",0
"1641",0
"1660",-1
"1678",-1
"1680",0
"1684",-1
"1688",-1
"1690",-1
"1691",0
"1700",0
"1705",0
"1732",0
"1735",-1
"1737",0
"1744",1
"1750",0
"1755",0
"1761",0
"1764",0
"1771",1
"1783",0
"1785",1
"1794",-1
"1796",0
"1809",0
"1810",0
"1811",0
"1813",1
"1814",0
"1825",0
"1842",-1
"1845",-1
"1847",0
"1849",0
"1852",1
"1853",0
"1863",0
"1866",0
"1867",0
"1873",1
"1876",0
"1877",-1
"1878",0
"1914",0
