"","1*alpha -1*thy"
"11",1
"29",0
"30",-1
"31",0
"37",-1
"43",0
"47",0
"48",-1
"55",0
"56",1
"57",0
"60",-1
"61",-1
"67",-1
"69",-1
"70",-1
"83",0
"86",0
"89",0
"92",1
"96",-1
"98",-1
"100",0
"107",0
"109",0
"113",1
"121",-1
"123",0
"127",1
"142",0
"143",-1
"145",1
"152",-1
"157",-1
"165",0
"170",1
"201",0
"208",1
"210",1
"213",1
"218",-1
"221",-1
"229",1
"239",0
"240",1
"246",-1
"251",1
"258",-1
"262",1
"263",1
"273",1
"277",1
"280",1
"295",0
"296",-1
"297",1
"304",1
"308",0
"313",0
"317",1
"319",1
"322",-1
"326",0
"328",1
"331",0
"335",0
"344",-1
"346",0
"364",1
"370",1
"372",-1
"373",1
"375",1
"385",0
"386",1
"395",0
"398",0
"404",0
"406",-1
"412",1
"414",0
"418",-1
"419",1
"423",1
"426",1
"429",0
"433",-1
"455",-1
"466",0
"469",-1
"470",1
"471",0
"478",0
"483",-1
"484",-1
"490",1
"493",0
"502",0
"508",0
"511",0
"519",-1
"520",0
"525",0
"527",-1
"530",-1
"544",0
"546",1
"547",1
"549",0
"552",0
"555",0
"557",1
"576",1
"579",-1
"584",-1
"593",0
"595",1
"602",-1
"605",1
"609",1
"618",1
"622",-1
"632",-1
"635",0
"639",-1
"655",-1
"666",-1
"671",-1
"673",1
"685",1
"690",0
"694",1
"698",-1
"709",0
"713",1
"714",0
"715",0
"717",-1
"719",-1
"722",1
"731",0
"733",0
"735",1
"737",0
"744",0
"751",0
"756",1
"769",-1
"779",1
"784",0
"787",0
"801",-1
"811",0
"814",-1
"815",0
"817",-1
"844",-1
"847",-1
"851",0
"852",0
"858",1
"859",-1
"879",-1
"884",-1
"886",1
"887",1
"904",-1
"905",1
"911",1
"931",0
"935",1
"938",-1
"939",0
"940",-1
"942",1
"946",1
"956",-1
"975",0
"979",1
"980",1
"982",-1
"990",-1
"992",0
"998",-1
"1007",0
"1016",-1
"1033",0
"1038",0
"1044",0
"1054",-1
"1061",1
"1063",-1
"1065",0
"1071",1
"1076",0
"1082",0
"1083",-1
"1097",-1
"1099",0
"1106",0
"1113",0
